Sıra No,Arapça,Ravi,Meal,Kaynak
951,                      W              W K,Ebul Esved (Allah Ondan raz ı olsun),"Ebul Esved (Allah Ondan raz ı olsun)’den rivayet edildi ğine göre şöyle  demiştir: Medine’ye geldiğinde Hz. Ömer’in yanında oturuyordum. Yan ımızdan bir  cenaze geçti. Bu kimse hay ırla anıldı. Bunun üzerine Ömer “Kesinle şti” dedi. Sonra  bir başka tabut daha geçti. Onun içindeki de hay ırla anıldı. Ömer yine “Kesinle şti”  dedi. Daha sonra üçüncü bir ta but geçti, o da kötülükle an ıldı. Ömer yine “Kesileşti”  dedi. Bu defa ben kendisine: Ne kesinle şti ey mü’minlerin emiri! dedim. O da şöyle  cevap verdi: Ben Rasûlullah (sallallahu aleyhi vesellem)’in buyurduğu gibi söyledim.  Çünkü o: “Bir müslüman hakk ında dört ki şi hayırla şahitlikte bulunursa Allah onu  cennete kor” buyurmuştu. Biz kendisine: Peki üç ki şi şehadet ederse? dedik. “Üç kişi  şehadet ederse de ayn ıdır” buyurdu. Ya iki ki şi şehadet ederse? dedik. “ İki kişi de  şehadet etse yine ayn ıdır” buyurdu. Art ık bir ki şinin şahidliğini de sormad ık.  (Buhari, Cenaiz 86)   BÖLÜM: 164  KÜÇÜK ÇOCUKLARI ÖLENİN KAZANACAKLARI SEVAP    J    W                               K",
952,,Enes (Allah Ondan raz ı olsun),"Enes (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre Rasûlullah  (sallallahu aleyhi vesellem) şöyle buyurdu: “Henüz ergenlik ça ğına ula şmamış üç  çocuğu ölen herhangi bir müslüman ı Allah çocuklara olan şefkat ve merhametinden  dolayı cennetine koyar.” (Buhari, Cenaiz 6, Müslim, Birr 153)","Buhari, Cenaiz 6, Müslim, Birr 153"
953,J     ,Ebu Hüreyre (Allah Ondan raz ı olsun),"Ebu Hüreyre (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Herhangi bir müslüman ın  ergenlik çağına ulaşmadan üç çocuğu ölürse o kimseye cehennem ate şi ancak yemin  yerini bulacak kadar bir süre dokunur.” (Buhari, Cenaiz 6, Müslim, Birr 150)","Buhari, Cenaiz 6, Müslim, Birr 150"
954,  W      W                                                           K,,"Ebu Said el Hudri (Allah Ondan raz ı olsun) şöyle demi ştir: Bir kad ın  Rasûlullah (sallallahu aleyhi ve sellem)’e geldi ve: -Ey Allah’ ın Rasulü, senin  sözünden hep erkekler istifade ediyor. Biz kad ınlara da bir gün ay ır, o gün  toplanalım, Allah’ın öğrettiklerinden bize de ö ğret, dedi. Peygamberimiz (sallallahu  aleyhi vesellem):  - Peki şu gün şurada toplanınız, dedi.   Kadınlar topland ılar. Peygamber (sallallahu al eyhi vesellem) gidip Allah’ ın  kendisine öğrettiklerinden onlara da öğretti. Sonra onlara:  “Sizden ergenlik ça ğına ula şmamış üç çocu ğunu kim ahirete göndermi şse  Allah o çocukları anneleri için cehenneme kar şı siper yapar”, dedi. Kad ınlardan biri:  Bu durum iki çocuk gönderenler için de ge çerli midir? dedi. Rasûlullah (sallallahu  aleyhi vesellem)’de: “Evet iki ço cuk için de geçerlidir” cevab ını verdi. (Buhari, İlim  36, Müslim, Birr 152)","Buhari, İlim  36, Müslim, Birr 152"
955, BÖLÜM: 165  ZALİM VE AZABA U ĞRAYANLARIN YAKINLARINDAN GEÇERKEN  KORKUP AĞLAYIP ALLAH’A SIĞINMAK                    W     W               W                                    K,İbni Ömer (Allah Onlardan raz ı olsun),"İbni Ömer (Allah Onlardan raz ı olsun)'dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi veselle m) Semûd kavminin ülkesi olan H ıcr denilen  yere varınca şöyle hitap etti:  “Siz Azaba u ğrayan bu kavmin yurdundan çabucak a ğlayarak geçin .  Ağlamayacaksanız girmeyiniz de onlar ın ba şına gelen azab size de gelmesin.”  (Buhari, Salat 53, Müslim, Zühd 39)","Buhari, Salat 53, Müslim, Zühd 39"
956,"Başka bir rivayette H ıcr’e vard ığı zaman Rasûlullah (sallallahu aleyhi  vesellem)’in şöyle buyurduğu bildirilmektedir. “Kendilerine zulmedenlerin yurduna  ağlayarak girin. Yoksa onlar ın ba şına gelen sizin de ba şınıza gelebilir.” Sonra  Rasûlullah (sallallahu aleyhi vesellem) ba şını örttü ve vadiyi süratle geçti. (Buhari,  Enbiya 17, Müslim, Zühd    YOLCULUK EDEBLERİ KİTABI  BÖLÜM: 166  YOLCULUĞA PERŞEMBE GÜNÜ VE ERKEN ÇIKMA GEREĞİ    J          WE              K",Ka’b ibni Malik (Allah Ondan raz ı olsun),"Ka’b ibni Malik (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) Tebük Gazvesine Per şembe günü ç ıktı. zaten  genellikle Perşembe günü sefere çıkmayı severdi. (Buhari, Cihad 103)  * Buhari ve Müslim’in değişik bir rivayeti şöyledir: Perşembe gününden ba şka  günlerde Rasûlullah’ın sefere çıktığı pek nadirdir. (Buhari, Cihad 103, Müslim, Cihad  77)","Buhari, Cihad 103, Müslim, Cihad  77"
957,                 K,Sahabi Sahr ibni Vedaa el-Gamidi (Allah Ondan raz ı olsun)'dan rivayet  edildiğ,"Sahabi Sahr ibni Vedaa el-Gamidi (Allah Ondan raz ı olsun)'dan rivayet  edildiğine göre Rasûlullah (sallall ahu aleyhi vesellem): “Allah’ım ümmetimin erken  kalkıp işine gücüne gidenlerin i şlerinde ve r ızıklarında bereketler ihsan eyle.” Ravi  diyor ki: Peygamber (sallallahu aleyhi vesellem) Seriyye veya ordu gönderdi ği  zaman sabah erkenden gönd erirdi. Sahr’da tüccard ı, ticaret mal ve kervanlar ını  sabah erkenden yola ç ıkarır, i şine erkenden ba şlardı.Bu sebeple mal ı ço ğaldı ve  büyük servet sahibi oldu. (Ebu Davud, Cihad 78, Tirmizi, Büyu 6)    BÖLÜM: 167  YALNIZ YOLCULUK YAPMAMAK               K",
958,,İbni Ömer (Allah Onlardan raz ı olsun),"İbni Ömer (Allah Onlardan raz ı olsun)'dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “ İnsanlar yaln ız ba şına  yolculuk yapman ın ne kadar sak ıncalı oldu ğunu bir bilselerdi hiçbir binek sahibi  gece yolculuğuna yalnız çıkmazdı.” (Buhari, Cihad 135)      W   K",
959,,,Amr ibni Şuayb (Allah Ondan raz ı olsun)’ın babas ı yoluyla dedesinden  rivayet etti ğine göre Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Bir  yolcuya bir şeytan arkadaş olur. İki yolcuya iki şeytan arkadaş olur. Üç yolcu ise bir  kervandır.”               K,
960,,Ebu Said ve Ebu Hüreyre (Allah Ondan raz ı olsun),"Ebu Said ve Ebu Hüreyre (Allah Ondan raz ı olsun)'dan rivayet edildi ğine  göre Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Üç kimse yolculu ğa  çıkarsa aralarında birini başkan seçsinler.” (Ebu Davud, Cihad 80)                K",
961,,İbni Abbas (Allah Onlardan raz ı olsun),"İbni Abbas (Allah Onlardan raz ı olsun)'dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Arkada şlığın en hay ırlısı  dört kişiden oluşandır. Harbe gönderilen birliklerin en hayırlısı dört yüz kişi olandır.  Orduların en hay ırlısı ise dört bin ki şiden meydana gelendir. Mevcudu on iki bine  varan ordunun ma ğlubiyeti say ısının azl ığından de ğil ba şka sebeplerdendir.”  (Buhari, Cihad 83)    BÖLÜM: 168  YOLCULUKTA YÜRÜMEK VE KONAKLAMAK   J                   K",
962,,Ebu Hüreyre (Allah Ondan raz ı olsun),"Ebu Hüreyre (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Otu bol olan yerlerde  yolculuk yapt ığınız zaman otlardan istifade etmeleri için hayvanlar ınıza da imkan  verin. Kurak zamanlarda ve bölgelerde yola çıkmışsanız hayvanlarınızı gideceği yere  çabucak varmalar ı için h ızlıca sürün. Gece yatmak iç in mola verecek olursan ız  yoldan ayr ılıp bir kenara çekilip istirahat ınızı yap ın zira yol üzeri geceleyin  hayvanların güzergahı ve haşeratın sığınağıdır. (Müslim, İmara 178)","Müslim, İmara 178"
963,J                          K,,"Ebu Katade (Allah Ondan razı olsun) şöyle demiştir: Rasûlullah (sallallahu  aleyhi vesellem) yolculu ğa ç ıkar da geceleyin konaklayacak olursa sa ğ yan ının  üzerine yatardı. Sabaha karşı mola verirse sa ğ dirseğini diker, başını avucunun içine  koyardı. (Müslim, Mescid 313)","Müslim, Mescid 313"
